edad,te_gusta_salsa,te_gusta_bailar,eres_mujer,etiqueta
25,0,0,0,no
55,1,1,0,si
25,0,0,0,si
21,0,1,0,no
20,0,1,1,si
23,1,1,0,no
22,0,1,0,no
20,1,1,1,si
28,1,1,1,si
27,1,1,0,si
40,1,1,1,si
27,1,1,1,si
25,1,1,1,si
26,1,1,1,si
20,0,0,0,no
32,1,1,1,si
29,0,0,0,si
45,0,1,0,si
23,0,0,1,no
21,0,1,0,no
20,1,1,1,si
25,0,0,0,si
55,1,1,1,si
22,1,1,0,si
25,0,0,0,no
27,0,1,0,si
26,1,1,0,si
20,0,1,1,si
22,1,1,1,no
21,1,1,1,si
25,1,0,1,no
23,1,1,,no
26,0,0,0,no
25,1,1,1,no
26,1,1,1,si
22,0,0,1,no
20,1,0,1,si
45,1,1,1,no
25,1,1,1,no
25,0,0,1,no
14,0,0,0,no
51,1,1,1,si
8,0,0,0,no
22,1,1,0,si
17,1,1,1,no
20,1,1,1,si
18,0,1,0,si
80,1,0,0,no
60,1,0,1,no
20,1,1,0,no
18,1,1,0,si
23,1,1,1,no
25,1,0,0,no
24,0,1,0,si
